productName,description,category,brand,priceLKR,discountPercentage,weightValue,weightUnit,labels
Kotmale Fresh Milk,Full Cream 1L,Dairy & Eggs,Kotmale,530,,1.0,L,"milk,fresh_milk,dairy,compare,cheapest"
Ambewela Fresh Milk,Full Cream 1L,Dairy & Eggs,Ambewela,500,,1.0,L,"milk,fresh_milk,dairy,compare,cheapest"
Anchor Fresh Milk,Full Cream 500ml,Dairy & Eggs,Anchor,450,,0.5,L,"milk,fresh_milk,dairy,compare,cheapest"
Kotmale Cheese Wedges,Cheese wedges 120g,Dairy & Eggs,Kotmale,350,20,120,g,"cheese,cheese_wedges,dairy,compare,cheapest"
Rich Life Cheese Wedges,Cheese wedges 120g,Dairy & Eggs,Rich Life,400,,120,g,"cheese,cheese_wedges,dairy,compare,cheapest"
Anchor Cheddar Cheese Slices,Cheddar cheese slices 400g,Dairy & Eggs,Anchor,980,,400,g,"cheese,cheddar,dairy,compare,cheapest"
Ambewela Gouda Cheese,Gouda cheese 200g,Dairy & Eggs,Ambewela,500,,200,g,"cheese,gouda,dairy,compare,cheapest"
Eggs Pack,Farm fresh eggs (6pcs),Dairy & Eggs,,350,,6,pcs,"eggs,dairy,compare,cheapest"
Orange Juice,Orange juice 1L,Beverages,,450,10,1.0,L,"juice,orange_juice,beverage,compare,cheapest"
Mineral Water,Drinking water 1.5L,Beverages,,120,,1.5,L,"water,beverage,compare,cheapest"
White Bread,Soft white bread loaf 250g,Bakery,,400,,250,g,"bread,bakery,compare,cheapest"
Dates,Khalas Dates 500g,Fruits,,1200,,500,g,"dates,fruit,compare,cheapest"
Kotmale Eggs 2pcs,Quality item,Dairy & Eggs,Kotmale,650,,2,pcs,"brand_kotmale,cheapest,compare,dairy,eggs"
Ambewela Dish Wash Liquid 0.5L,Quality item,Household,Ambewela,330,,0.5,L,"brand_ambewela,cheapest,cleaning,compare,household"
Munchee Yoghurt 1000g,Quality item,Dairy & Eggs,Munchee,1600,,1000,g,"brand_munchee,cheapest,compare,dairy,yoghurt"
Anchor Fresh Milk 330ml,Quality item,Dairy & Eggs,Anchor,530,,330,ml,"brand_anchor,cheapest,compare,dairy,fresh_milk,milk"
Ambewela Gouda Cheese,wedges,Dairy & Eggs,Ambewela,480,,120,g,"brand_ambewela,cheapest,cheese,compare,dairy,gouda"
Munchee Crackers,family pack,Snacks,Munchee,1530,,500,g,"brand_munchee,cheapest,compare,crackers,snacks"
Ruhunu Sausages 120g,Quality item,Frozen Foods,Ruhunu,490,,120,g,"brand_ruhunu,cheapest,compare,frozen,sausages"
Rich Life Cheese Wedges 500g,wedges,Dairy & Eggs,Rich Life,2060,15,500,g,"brand_rich_life,cheapest,cheese,cheese_wedges,compare,dairy,discount"
Banana,local,Fruits,,630,,120,g,"banana,cheapest,compare,fruit"
MALIBAN Crackers,family pack,Snacks,MALIBAN,1940,,1000,g,"brand_maliban,cheapest,compare,crackers,snacks"
Kotmale Apple 500g,organic,Fruits,Kotmale,3320,,500,g,"apple,brand_kotmale,cheapest,compare,fruit"
Rich Life Potato 500g,local,Vegetables,Rich Life,900,,500,g,"brand_rich_life,cheapest,compare,potato,vegetable"
Highland Dish Wash Liquid 2L,Quality item,Household,Highland,3990,20,2,L,"brand_highland,cheapest,cleaning,compare,discount,household"
Kotmale Cheese Wedges,block,Dairy & Eggs,Kotmale,370,20,150,g,"brand_kotmale,cheapest,cheese,cheese_wedges,compare,dairy,discount"
Munchee Crackers,family pack,Snacks,Munchee,520,,1000,g,"brand_munchee,cheapest,compare,crackers,snacks"
Carrot 120g,organic,Vegetables,,390,,120,g,"carrot,cheapest,compare,vegetable"
Munchee Grapes,fresh,Fruits,Munchee,2030,,5,kg,"brand_munchee,cheapest,compare,fruit,grapes"
Anchor Coffee,fresh,Beverages,Anchor,500,,150,g,"beverage,brand_anchor,cheapest,coffee,compare"
MD Potato,organic,Vegetables,MD,620,,0.25,kg,"brand_md,cheapest,compare,potato,vegetable"
Rich Life Cheddar Cheese,spread,Dairy & Eggs,Rich Life,710,,120,g,"brand_rich_life,cheapest,cheddar,cheese,compare,dairy"
Anchor Orange Juice 750ml,no added sugar,Beverages,Anchor,2000,,750,ml,"beverage,brand_anchor,cheapest,compare,juice,orange_juice"
Munchee Banana,organic,Fruits,Munchee,1240,,1,kg,"banana,brand_munchee,cheapest,compare,fruit"
MD Curry Powder 200g,Quality item,Spices,MD,370,,200,g,"brand_md,cheapest,compare,curry,spices"
Ruhunu Apple,fresh,Fruits,Ruhunu,180,5,0.25,kg,"apple,brand_ruhunu,cheapest,compare,discount,fruit"
Ambewela White Bread,Quality item,Bakery,Ambewela,310,25,250,g,"bakery,brand_ambewela,bread,cheapest,compare,discount"
Rich Life Rice 500g,Quality item,Rice & Grains,Rich Life,830,,500,g,"brand_rich_life,cheapest,compare,grains,rice"
MALIBAN Chocolate Ice Cream,Quality item,Ice Cream,MALIBAN,2980,,1500,ml,"brand_maliban,cheapest,compare,dessert,icecream"
Kotmale Gouda Cheese 400g,slices,Dairy & Eggs,Kotmale,600,,400,g,"brand_kotmale,cheapest,cheese,compare,dairy,gouda"
Anchor Chocolate Ice Cream 500ml,Quality item,Ice Cream,Anchor,3010,,500,ml,"brand_anchor,cheapest,compare,dessert,icecream"
Kotmale Gouda Cheese 120g,block,Dairy & Eggs,Kotmale,410,20,120,g,"brand_kotmale,cheapest,cheese,compare,dairy,discount,gouda"
Anchor Cheddar Cheese 100g,spread,Dairy & Eggs,Anchor,590,,100,g,"brand_anchor,cheapest,cheddar,cheese,compare,dairy"
Munchee Chocolate Ice Cream 250ml,Quality item,Ice Cream,Munchee,620,30,250,ml,"brand_munchee,cheapest,compare,dessert,discount,icecream"
